fid,id_number,scientific,commonname,division,category1,category2,status,reporter,recowner,surveyor,obsdate,dateent,dateup,county,latitude,longitude,coordacc,localowner,administra,administ_1,unittype,unitname,locality,site,habitat,waterbodyn,waterbodyt,lakeidnumb,comments,abundance,infestedar,grossareai,percentcov,density,quantity,quantityun,approxquan,numcollect,smallestob,largestobs,incidence,severity,host,hostdamage,managestat,visittype,datamethod,traptype,numtraps,targetname,targetcoun,targetrang,phenology,lifestatus,sex,treatarea,planttreat,treatcomm,obsider,origname,datereview,reviewer,verifymeth,idcred,reviewcomm,museum,museumrec,voucher,nativity,recsrctyp,method,pid,collecttim,dateacc,substrate,MD
12,125,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Treated,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.13758,-92.76066,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Treated,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
13,126,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.14074,-92.75885,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
14,127,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.14111,-92.75902,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
15,128,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.14253,-92.7604,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
16,129,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.14065,-92.76517,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
17,130,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.14014,-92.7646,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
18,131,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,44.95944,-92.77363,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
19,132,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,44.95256,-92.79662,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
20,133,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,44.94864,-92.79668,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
21,134,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,44.94871,-92.78911,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
22,135,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,44.94863,-92.7857,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
23,136,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,44.9448,-92.78349,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
24,137,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,44.94354,-92.78396,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
25,138,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,44.94359,-92.79773,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
26,139,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Treated,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,7/16/2019,Washington,44.94007,-92.79622,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
27,140,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,44.93692,-92.79689,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
28,141,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,44.93812,-92.79927,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
29,142,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,44.93378,-92.79768,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
30,143,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,44.93383,-92.79746,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
31,144,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,44.91366,-92.78766,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
32,106077,Agrilus planipennis,emerald ash borer,Insects,Bark Beetles and Phloem Feeding Insects,Boring Insects,Positive,Mark Abrahamson Minnesota Department of Agriculture,State Agency,,1/1/2008,9/26/2013,,Ramsey,44.95445,-93.20701,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
33,21,Dipsacus laciniatus,cutleaf teasel,Plants,Forbs/Herbs,,Treated,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2005,3/29/2010,3/29/2010,Houston,43.78587,-91.59672,0,,,,,,,,,,,,,,0.25,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,private citizen,,5/16/2016,Laura Van Riper,Expertise,Verified,Report was verified by Emilie Justen of the Minnesota Department of Agriculture.,,,0,Introduced,Web Report,,,0,0,,01.01
34,104412,Lysimachia nummularia,"creeping yellow loosestrife, creeping Jenny",Plants,Forbs/Herbs,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Pine,46.09841,-92.83483,0,,Wildlife,"Sandstone, Wildlife Management Area",Wildlife Management Area,Sandstone WMA,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
35,104413,Lysimachia nummularia,"creeping yellow loosestrife, creeping Jenny",Plants,Forbs/Herbs,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Wright,45.18893,-93.91581,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
36,104414,Lysimachia nummularia,"creeping yellow loosestrife, creeping Jenny",Plants,Forbs/Herbs,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Ramsey,44.99092,-93.10659,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
37,104415,Lysimachia nummularia,"creeping yellow loosestrife, creeping Jenny",Plants,Forbs/Herbs,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Washington,44.99902,-92.9094,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
38,104416,Lysimachia nummularia,"creeping yellow loosestrife, creeping Jenny",Plants,Forbs/Herbs,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Rice,44.34809,-93.28302,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
39,104417,Lysimachia nummularia,"creeping yellow loosestrife, creeping Jenny",Plants,Forbs/Herbs,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Goodhue,44.41458,-92.69681,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
40,104418,Lysimachia nummularia,"creeping yellow loosestrife, creeping Jenny",Plants,Forbs/Herbs,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Wabasha,44.29491,-92.21511,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
41,104419,Lysimachia nummularia,"creeping yellow loosestrife, creeping Jenny",Plants,Forbs/Herbs,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Olmsted,44.00748,-92.44255,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
42,104420,Lysimachia nummularia,"creeping yellow loosestrife, creeping Jenny",Plants,Forbs/Herbs,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Winona,44.00883,-91.74191,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
43,104421,Lysimachia nummularia,"creeping yellow loosestrife, creeping Jenny",Plants,Forbs/Herbs,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Houston,43.70889,-91.47414,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
44,104422,Rorippa sylvestris,yellow fieldcress,Plants,Forbs/Herbs,Aquatic Plants,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,St. Louis,47.36915,-92.40455,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
45,104423,Rorippa sylvestris,yellow fieldcress,Plants,Forbs/Herbs,Aquatic Plants,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Wright,45.18893,-93.91581,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
46,104424,Rorippa sylvestris,yellow fieldcress,Plants,Forbs/Herbs,Aquatic Plants,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Ramsey,44.99092,-93.10659,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
47,104499,Alopecurus geniculatus,water foxtail,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Chippewa,44.99955,-95.60452,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
48,104500,Alopecurus geniculatus,water foxtail,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Brown,44.25531,-94.69621,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
49,104501,Alopecurus geniculatus,water foxtail,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Pipestone,44.00619,-96.25484,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
50,104502,Alopecurus geniculatus,water foxtail,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Cottonwood,43.99074,-95.17032,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
51,104563,Juncus compressus,roundfruit rush,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Kittson,48.76408,-96.85411,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
52,104583,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Kittson,48.76408,-96.85411,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
53,104584,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Lake of the Woods,48.70355,-94.83211,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
54,104585,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Marshall,48.32587,-96.47757,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
55,104586,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Koochiching,48.37468,-93.66063,0,,Forestry,"Miscellaneous, Other Forest Land",Other Forest Land,Miscellaneous,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
56,104587,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,St. Louis,47.36915,-92.40455,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
57,104588,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Lake,47.50015,-91.46911,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
58,104589,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Cook,47.85641,-90.49789,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
59,104590,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Beltrami,47.72083,-94.83712,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
60,104591,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Polk,47.77037,-96.40837,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
61,104592,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Norman,47.31412,-96.53169,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
62,104593,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Mahnomen,47.31979,-95.8193,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
63,104594,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Clearwater,47.53485,-95.38162,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
64,104595,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Clay,46.86925,-96.56846,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
65,104596,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Becker,46.89315,-95.74269,0,,Fisheries,"Pickerel Lake (Becker), Aquatic Management Area",Aquatic Management Area,Pickerel Lake AMA (Becker),,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
66,104597,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Hubbard,47.05137,-94.9053,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
67,104598,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Itasca,47.43171,-93.57006,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
68,104599,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Wilkin,46.3237,-96.47832,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
69,104600,Agrostis gigantea,redtop,Plants,Grass or Grasslike,,Positive,USGS Nonindigenous Aquatic Species Program Database,Federal Agency,,1/1/2008,10/8/2012,,Otter Tail,46.40515,-95.73716,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
