fid,id_number,scientific,commonname,division,category1,category2,status,reporter,recowner,surveyor,obsdate,dateent,dateup,county,latitude,longitude,coordacc,localowner,administra,administ_1,unittype,unitname,locality,site,habitat,waterbodyn,waterbodyt,lakeidnumb,comments,abundance,infestedar,grossareai,percentcov,density,quantity,quantityun,approxquan,numcollect,smallestob,largestobs,incidence,severity,host,hostdamage,managestat,visittype,datamethod,traptype,numtraps,targetname,targetcoun,targetrang,phenology,lifestatus,sex,treatarea,planttreat,treatcomm,obsider,origname,datereview,reviewer,verifymeth,idcred,reviewcomm,museum,museumrec,voucher,nativity,recsrctyp,method,pid,collecttim,dateacc,substrate
71931,107759,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,Crow Wing,46.63493,-93.92549,0,Public,,,,,,,Right-of-Way,,,,,,1.26,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72054,107882,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Dodge,44.01772,-92.7785,0,Public,,,,,,,Right-of-Way,,,,,,10.38,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72062,107890,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Yellow Medicine,44.54408,-95.52349,0,Public,,,,,,,Right-of-Way,,,,,,0.19,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72066,107894,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Yellow Medicine,44.64478,-95.68622,0,Public,,,,,,,Right-of-Way,,,,,,1.9,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72211,108039,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Pipestone,44.14001,-96.44682,0,Public,,,,,,,Right-of-Way,,,,,,1.9,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72212,108040,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Pipestone,44.15432,-96.39179,0,Public,,,,,,,Right-of-Way,,,,,,0.13,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72250,108078,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,Cass,46.64292,-94.59807,0,Public,,,,,,,Right-of-Way,,,,,,0.19,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72253,108081,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,Cass,46.99133,-93.89947,0,Public,Wildlife,"Big Rice, Wildlife Management Area",Wildlife Management Area,Big Rice WMA,,,Right-of-Way,,,,,,1.9,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72254,108082,Pastinaca sativa,wild parsnip,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,Cass,46.79556,-94.68135,0,Public,,,,,,,Right-of-Way,,,,,,0.17,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Pastinaca sativa,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72461,108289,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,44.05783,-92.58734,0,Public,,,,,,,Right-of-Way,,,,,,1.9,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72462,108290,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,43.97028,-92.38084,0,Public,,,,,,,Right-of-Way,,,,,,1.9,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72463,108291,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,43.90944,-92.63825,0,Public,,,,,,,Right-of-Way,,,,,,1.9,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72467,108295,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,44.00235,-92.65829,0,Public,,,,,,,Right-of-Way,,,,,,10.38,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72468,108296,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,44.07397,-92.67115,0,Public,,,,,,,Right-of-Way,,,,,,17.3,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72469,108297,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,43.93604,-92.13913,0,Public,,,,,,,Right-of-Way,,,,,,17.3,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72476,108304,Pastinaca sativa,wild parsnip,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,44.07936,-92.67332,0,Public,,,,,,,Right-of-Way,,,,,,1.69,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Pastinaca sativa,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72477,108305,Pastinaca sativa,wild parsnip,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,44.00235,-92.65829,0,Public,,,,,,,Right-of-Way,,,,,,1.69,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Pastinaca sativa,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72478,108306,Pastinaca sativa,wild parsnip,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,43.97028,-92.38084,0,Public,,,,,,,Right-of-Way,,,,,,1.69,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Pastinaca sativa,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72479,108307,Pastinaca sativa,wild parsnip,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,43.93512,-92.50948,0,Public,,,,,,,Right-of-Way,,,,,,1.69,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Pastinaca sativa,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72480,108308,Pastinaca sativa,wild parsnip,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,43.92583,-92.63767,0,Public,Wildlife,"Rock Dell, Wildlife Management Area",Wildlife Management Area,Rock Dell WMA,,,Right-of-Way,,,,,,9.2,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Pastinaca sativa,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72481,108309,Pastinaca sativa,wild parsnip,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,43.88434,-92.37144,0,Public,,,,,,,Right-of-Way,,,,,,9.2,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Pastinaca sativa,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72482,108310,Pastinaca sativa,wild parsnip,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,43.91001,-92.55826,0,Public,,,,,,,Right-of-Way,,,,,,9.2,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Pastinaca sativa,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72483,108311,Pastinaca sativa,wild parsnip,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,43.90944,-92.63825,0,Public,,,,,,,Right-of-Way,,,,,,9.2,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Pastinaca sativa,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72484,108312,Pastinaca sativa,wild parsnip,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,43.94759,-92.1391,0,Public,,,,,,,Right-of-Way,,,,,,9.2,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Pastinaca sativa,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72486,108314,Pastinaca sativa,wild parsnip,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,44.04331,-92.56616,0,Public,,,,,,,Right-of-Way,,,,,,15.34,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Pastinaca sativa,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72487,108315,Pastinaca sativa,wild parsnip,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,43.93604,-92.13913,0,Public,,,,,,,Right-of-Way,,,,,,15.34,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Pastinaca sativa,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72488,108316,Pastinaca sativa,wild parsnip,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2006,1/22/2015,,Olmsted,43.86829,-92.16897,0,Public,,,,,,,Right-of-Way,,,,,,15.34,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Pastinaca sativa,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72684,108512,Centaurea stoebe ssp. micranthos,spotted knapweed,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.05229,-91.96932,0,Public,,,,,,,Right-of-Way,,,,,,0.43,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Centaurea stoebe ssp. micranthos,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72689,108517,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.17991,-92.09986,0,Public,,,,,,,Right-of-Way,,,,,,0.19,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72690,108518,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.30205,-92.09861,0,Public,,,,,,,Right-of-Way,,,,,,0.19,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72691,108519,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.25575,-92.03202,0,Public,,,,,,,Right-of-Way,,,,,,0.19,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72692,108520,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.11112,-92.17338,0,Public,,,,,,,Right-of-Way,,,,,,0.19,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72693,108521,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,46.98056,-92.15392,0,Public,,,,,,,Right-of-Way,,,,,,0.19,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72694,108522,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.01105,-92.1447,0,Public,,,,,,,Right-of-Way,,,,,,0.19,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72695,108523,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.39983,-91.79457,0,Public,,,,,,,Right-of-Way,,,,,,0.19,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72713,108541,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.20791,-92.05746,0,Public,Forestry,Cloquet Valley State Forest,State Forest,Cloquet Valley,,,Right-of-Way,,,,,,1.9,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72714,108542,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,46.99497,-92.15063,0,Public,,,,,,,Right-of-Way,,,,,,1.9,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72715,108543,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,46.9671,-92.11389,0,Public,,,,,,,Right-of-Way,,,,,,1.9,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72716,108544,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,46.97808,-91.92121,0,Public,,,,,,,Right-of-Way,,,,,,1.9,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72717,108545,Cirsium arvense,Canada thistle,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.3378,-92.06808,0,Public,,,,,,,Right-of-Way,,,,,,1.9,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Cirsium arvense,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72761,108589,Pastinaca sativa,wild parsnip,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,46.91301,-91.99305,0,Public,,,,,,,Right-of-Way,,,,,,0.17,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Pastinaca sativa,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72766,108594,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.25575,-92.03202,0,Public,,,,,,,Right-of-Way,,,,,,0.13,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72767,108595,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.17991,-92.09986,0,Public,,,,,,,Right-of-Way,,,,,,0.13,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72768,108596,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,46.99497,-92.15063,0,Public,,,,,,,Right-of-Way,,,,,,0.13,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72769,108597,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.11128,-92.12846,0,Public,Forestry,Cloquet Valley State Forest,State Forest,Cloquet Valley,,,Right-of-Way,,,,,,0.13,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72770,108598,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.11112,-92.17338,0,Public,,,,,,,Right-of-Way,,,,,,0.13,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72771,108599,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.01105,-92.1447,0,Public,,,,,,,Right-of-Way,,,,,,0.13,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72780,108608,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,46.88378,-92.09038,0,Public,,,,,,,Right-of-Way,,,,,,1.26,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72781,108609,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.30205,-92.09861,0,Public,,,,,,,Right-of-Way,,,,,,1.26,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72782,108610,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.31414,-91.84507,0,Public,,,,,,,Right-of-Way,,,,,,1.26,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72783,108611,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,46.91301,-91.99305,0,Public,,,,,,,Right-of-Way,,,,,,1.26,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72784,108612,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.3378,-92.06808,0,Public,,,,,,,Right-of-Way,,,,,,1.26,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72785,108613,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.03262,-91.82857,0,Public,,,,,,,Right-of-Way,,,,,,1.26,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72786,108614,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.04634,-91.9911,0,Public,,,,,,,Right-of-Way,,,,,,1.26,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72787,108615,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,47.38723,-91.80641,0,Public,,,,,,,Right-of-Way,,,,,,1.26,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
72788,108616,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,St. Louis,46.97808,-91.92121,0,Public,,,,,,,Right-of-Way,,,,,,1.26,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
